Program Administrator,Program Name,Fuel Type,Sector,Net Fuel Savings Acquired,Fuel Savings Unit,Cumulative Net Energy Savings Acquired as of Date
New York State Electric & Gas Corporation,C&I Gas Program,Gas,Commercial,46422.00,Dth,12/31/2017
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,15624.00,Dth,12/31/2017
New York State Electric & Gas Corporation,Energy Saver Program,Gas,Residential,12845.00,Dth,12/31/2017
New York State Electric & Gas Corporation,Residential HVAC Program,Gas,Residential,505472.00,Dth,12/31/2017
"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Gas,Residential,91178.00,Dth,12/31/2017
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Gas,Commercial,496.00,Dth,12/31/2017
Rochester Gas and Electric Corporation,C&I Gas Program,Gas,Commercial,64570.00,Dth,12/31/2017
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,23859.00,Dth,12/31/2017
"St. Lawrence Gas Company, Inc.",Small Commercial HVAC Program,Gas,Commercial,4801.00,Dth,12/31/2017
"St. Lawrence Gas Company, Inc.",Residential Gas HVAC Program,Gas,Residential,23499.00,Dth,12/31/2017
Central Hudson Gas & Electric Corporation,* Small and Mid-Size Commercial Buildings,Electric,Commercial,16.28,MWh,12/31/2017
Central Hudson Gas & Electric Corporation,Mid-Size Commercial Business Program,Electric,Commercial,35711.02,MWh,12/31/2017
Central Hudson Gas & Electric Corporation,Small Business Direct Install Program,Electric,Commercial,90577.44,MWh,12/31/2017
Central Hudson Gas & Electric Corporation,* Residential HVAC Program,Electric,Residential,125.68,MWh,12/31/2017
Central Hudson Gas & Electric Corporation,Expanded Residential HVAC Program,Electric,Residential,0.00,MWh,12/31/2017
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Electric,Residential,74836.28,MWh,12/31/2017
Central Hudson Gas & Electric Corporation,Residential Appliance Recycling Program,Electric,Residential,19562.37,MWh,12/31/2017
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Electric,Residential,8083.90,MWh,12/31/2017
"Consolidated Edison Company of New York, Inc.",C&I Custom Efficiency Program,Electric,Commercial,241090.03,MWh,12/31/2017
"Consolidated Edison Company of New York, Inc.",C&I Equipment Rebate Program,Electric,Commercial,231290.66,MWh,12/31/2017
"Consolidated Edison Company of New York, Inc.",Small Business Direct Install Program,Electric,Commercial,506043.82,MWh,12/31/2017
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Electric,Multi-Family,64221.18,MWh,12/31/2017
"Consolidated Edison Company of New York, Inc.",* Residential HVAC Program,Electric,Residential,669.39,MWh,12/31/2017
"Consolidated Edison Company of New York, Inc.",Appliance Bounty Program,Electric,Residential,17402.20,MWh,12/31/2017
"Consolidated Edison Company of New York, Inc.",Residential Direct Installation Program,Electric,Residential,2663.10,MWh,12/31/2017
"Consolidated Edison Company of New York, Inc.",Residential Electric Program,Electric,Residential,39450.54,MWh,12/31/2017
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Electric,Residential,6443.58,MWh,12/31/2017
"Consolidated Edison Company of New York, Inc.",Residential Room Air Conditioning Program,Electric,Residential,3213.46,MWh,12/31/2017
National Fuel Gas Distribution Corporation,* Residential Rebate Program,Electric,Residential,6924.00,MWh,12/31/2017
New York State Electric & Gas Corporation,Block Bidding Program,Electric,Commercial,6958.39,MWh,12/31/2017
New York State Electric & Gas Corporation,C&I Custom Rebate Program,Electric,Commercial,8003.14,MWh,12/31/2017
New York State Electric & Gas Corporation,C&I Electric Program,Electric,Commercial,87267.23,MWh,12/31/2017
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,2953.32,MWh,12/31/2017
New York State Electric & Gas Corporation,Small Business Direct Install Program,Electric,Commercial,136437.16,MWh,12/31/2017
New York State Electric & Gas Corporation,Multifamily Program,Electric,Multi-Family,16531.16,MWh,12/31/2017
New York State Electric & Gas Corporation,* Residential HVAC Program,Electric,Residential,5447.66,MWh,12/31/2017
New York State Electric & Gas Corporation,Energy Saver Program,Electric,Residential,4909.61,MWh,12/31/2017
New York State Electric & Gas Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,61883.46,MWh,12/31/2017
New York State Energy Research and Development Authority,* Existing Facilities Program,Electric,Commercial,9.02,MWh,12/31/2017
New York State Energy Research and Development Authority,* Flex Tech Program,Electric,Commercial,4174.26,MWh,12/31/2017
New York State Energy Research and Development Authority,* New Construction Program,Electric,Commercial,2.07,MWh,12/31/2017
New York State Energy Research and Development Authority,Agricultural Disaster Program,Electric,Commercial,1550.95,MWh,12/31/2017
New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Electric,Commercial,25679.61,MWh,12/31/2017
New York State Energy Research and Development Authority,Benchmarking and Operations Efficiency Program,Electric,Commercial,0.00,MWh,12/31/2017
New York State Energy Research and Development Authority,Existing Facilities Program,Electric,Commercial,665683.67,MWh,12/31/2017
New York State Energy Research and Development Authority,FlexTech Expansion Program,Electric,Commercial,774958.53,MWh,12/31/2017
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Electric,Commercial,824444.68,MWh,12/31/2017
New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,301317.50,MWh,12/31/2017
New York State Energy Research and Development Authority,* Low-Income Multifamily Performance Program,Electric,Multi-Family,779.99,MWh,12/31/2017
New York State Energy Research and Development Authority,* Multifamily Performance Program,Electric,Multi-Family,-347.55,MWh,12/31/2017
New York State Energy Research and Development Authority,Advanced Sub-Metering Program,Electric,Multi-Family,2413.83,MWh,12/31/2017
New York State Energy Research and Development Authority,Geothermal Heat Pump Systems Program,Electric,Multi-Family,0.00,MWh,12/31/2017
"Orange and Rockland Utilities, Inc.",* Residential HVAC Program,Electric,Residential,287.22,MWh,09/30/2019
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Electric,Multi-Family,58413.56,MWh,12/31/2017
New York State Energy Research and Development Authority,Multifamily Performance Program,Electric,Multi-Family,27051.73,MWh,12/31/2017
New York State Energy Research and Development Authority,* Assisted Home Performance with Energy Star,Electric,Residential,566.31,MWh,12/31/2017
New York State Energy Research and Development Authority,* EmPower New York,Electric,Residential,260.74,MWh,12/31/2017
New York State Energy Research and Development Authority,* Home Performance with Energy Star,Electric,Residential,1134.90,MWh,12/31/2017
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Electric,Residential,3012.45,MWh,12/31/2017
New York State Energy Research and Development Authority,Assisted NY Energy Star Homes,Electric,Residential,2826.65,MWh,12/31/2017
New York State Energy Research and Development Authority,CFL Expansion Program,Electric,Residential,992099.27,MWh,12/31/2017
New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,60341.92,MWh,12/31/2017
New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,5055.71,MWh,12/31/2017
New York State Energy Research and Development Authority,NY Energy Star Homes,Electric,Residential,20889.28,MWh,12/31/2017
Niagara Mohawk Power Corporation,Energy Initiative - Commercial & Industrial Electric Program,Electric,Commercial,406583.95,MWh,12/31/2017
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Electric,Commercial,43778.41,MWh,12/31/2017
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Electric,Commercial,108660.32,MWh,12/31/2017
Niagara Mohawk Power Corporation,Small Business Direct Install Program,Electric,Commercial,609718.51,MWh,12/31/2017
Niagara Mohawk Power Corporation,Energy Wise Program,Electric,Multi-Family,33500.44,MWh,12/31/2017
Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Electric,Residential,108.33,MWh,12/31/2017
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Electric,Residential,181091.55,MWh,12/31/2017
Niagara Mohawk Power Corporation,Residential Energy Star Products and Recycling,Electric,Residential,57917.08,MWh,12/31/2017
Niagara Mohawk Power Corporation,Residential HVAC Program,Electric,Residential,1345.25,MWh,12/31/2017
"Orange and Rockland Utilities, Inc.",Commercial Existing Buildings Program,Electric,Commercial,48462.92,MWh,12/31/2017
"Orange and Rockland Utilities, Inc.",Small Business Direct Install Program,Electric,Commercial,39683.54,MWh,12/31/2017
"Orange and Rockland Utilities, Inc.",* Residential HVAC Program,Electric,Residential,287.22,MWh,12/31/2017
"Orange and Rockland Utilities, Inc.",Residential Efficient Products Program,Electric,Residential,12349.26,MWh,12/31/2017
"Orange and Rockland Utilities, Inc.",Residential HVAC,Electric,Residential,51.19,MWh,12/31/2017
Rochester Gas and Electric Corporation,Block Bidding Program,Electric,Commercial,11595.37,MWh,12/31/2017
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Electric,Commercial,2459.03,MWh,12/31/2017
Rochester Gas and Electric Corporation,C&I Electric Program,Electric,Commercial,56619.53,MWh,12/31/2017
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,871.54,MWh,12/31/2017
Rochester Gas and Electric Corporation,Small Business Direct Install Program,Electric,Commercial,63984.18,MWh,12/31/2017
Rochester Gas and Electric Corporation,Multifamily Program,Electric,Multi-Family,17841.12,MWh,12/31/2017
Rochester Gas and Electric Corporation,* Residential HVAC Program,Electric,Residential,13782.24,MWh,12/31/2017
Rochester Gas and Electric Corporation,Energy Saver Program,Electric,Residential,-1158.21,MWh,12/31/2017
Rochester Gas and Electric Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,41974.93,MWh,12/31/2017
Central Hudson Gas & Electric Corporation,Small and Mid-Size Commercial Buildings,Gas,Commercial,11732.26,Dth,12/31/2017
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Gas,Residential,97050.76,Dth,12/31/2017
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Gas,Residential,61367.23,Dth,12/31/2017
"Consolidated Edison Company of New York, Inc.",* C&I Custom Efficiency Program,Gas,Commercial,-95801.68,Dth,12/31/2017
"Consolidated Edison Company of New York, Inc.",* C&I Equipment Rebate Program,Gas,Commercial,-41167.54,Dth,12/31/2017
"Consolidated Edison Company of New York, Inc.",* Small Business Direct Install Program,Gas,Commercial,-349.68,Dth,12/31/2017
"Consolidated Edison Company of New York, Inc.",C&I Custom Gas Efficiency Program,Gas,Commercial,188249.07,Dth,12/31/2017
"Consolidated Edison Company of New York, Inc.",C&I Gas Efficient Equipment Rebate Program,Gas,Commercial,345424.03,Dth,12/31/2017
"Consolidated Edison Company of New York, Inc.",* Multifamily Energy Efficiency Program,Gas,Multi-Family,-37475.33,Dth,12/31/2017
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Gas,Multi-Family,700200.34,Dth,12/31/2017
"Consolidated Edison Company of New York, Inc.",Multifamily Low-Income Program,Gas,Multi-Family,124578.13,Dth,12/31/2017
"Consolidated Edison Company of New York, Inc.",* Residential Direct Installation Program,Gas,Residential,21.74,Dth,12/31/2017
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Gas,Residential,191926.90,Dth,12/31/2017
Corning Natural Gas Corporation,Small Commercial HVAC Program,Gas,Commercial,1398.30,Dth,12/31/2017
Corning Natural Gas Corporation,Residential HVAC Program,Gas,Residential,25206.60,Dth,12/31/2017
KeySpan Gas East Corp. d/b/a National Grid,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,343138.09,Dth,12/31/2017
KeySpan Gas East Corp. d/b/a National Grid,Commercial Energy Efficiency Program,Gas,Commercial,87250.27,Dth,12/31/2017
KeySpan Gas East Corp. d/b/a National Grid,Large Industrial Energy Efficiency Program,Gas,Commercial,68109.50,Dth,12/31/2017
KeySpan Gas East Corp. d/b/a National Grid,Multifamily Energy Efficiency Program,Gas,Multi-Family,17528.16,Dth,12/31/2017
KeySpan Gas East Corp. d/b/a National Grid,Enhanced Home Sealing Incentives Program,Gas,Residential,3498.10,Dth,12/31/2017
KeySpan Gas East Corp. d/b/a National Grid,Residential Energy Star Products Program,Gas,Residential,2386.38,Dth,12/31/2017
KeySpan Gas East Corp. d/b/a National Grid,"Residential High Efficiency Heating, Water Heating & Controls Programs",Gas,Residential,178891.29,Dth,12/31/2017
KeySpan Gas East Corp. d/b/a National Grid,Residential HVAC Program,Gas,Residential,210886.70,Dth,12/31/2017
National Fuel Gas Distribution Corporation,Small Non-Residential Rebate (Existing Facilities),Gas,Commercial,120024.95,Dth,12/31/2017
National Fuel Gas Distribution Corporation,Low-Income Usage Reduction Program (EmPower),Gas,Residential,143952.42,Dth,12/31/2017
National Fuel Gas Distribution Corporation,Residential Rebate Program,Gas,Residential,1031146.34,Dth,12/31/2017
New York State Electric & Gas Corporation,C&I Custom Rebate Program,Gas,Commercial,2842.39,Dth,12/31/2017
New York State Electric & Gas Corporation,C&I Gas Program,Gas,Commercial,46422.44,Dth,12/31/2017
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,15624.34,Dth,12/31/2017
New York State Electric & Gas Corporation,Energy Saver Program,Gas,Residential,12845.10,Dth,12/31/2017
New York State Electric & Gas Corporation,Residential HVAC Program,Gas,Residential,505471.77,Dth,12/31/2017
New York State Energy Research and Development Authority,* Agricultural Disaster Program,Gas,Commercial,5274.00,Dth,12/31/2017
New York State Energy Research and Development Authority,* Existing Facilities Program,Gas,Commercial,2438.98,Dth,12/31/2017
New York State Energy Research and Development Authority,* FlexTech Expansion Program,Gas,Commercial,-1482152.22,Dth,12/31/2017
New York State Energy Research and Development Authority,* New Construction Program,Gas,Commercial,482977.46,Dth,12/31/2017
New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Gas,Commercial,60726.33,Dth,12/31/2017
