Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
906772,D263659,09 SOUTHERN TIER,RTE 17 GENERAL BRIDGE REPAIRS - DELAWARE COUNTY,"This bridge rehabilitation project will perform general repairs to 8 bridges  in the Town of Colchester and the Village of Hancock in Delaware County (BINs 1054871, 1054872, 1054951, 1054952, 1054971, 1054972, 1054991, and 1054992).",Completed Project,Winter 2016/2017,02/08/2018,,,,Yes,Yes,No,This project involves general bridge rehabilitation work.,This bridge rehabilitation project will perform general repairs to 8 bridges in the Town of Colchester and the Village of Hancock in Delaware County.,03/08/2018,6769796,212182,6981978,05/01/2020,RED,GREEN
906773,D263951,09 SOUTHERN TIER,RTE 960J TIOGA COUNTY - BRIDGE DECK REPLACEMENTS,"This project will provide bridge deck replacements and minor rehabilitation to 3 Structures on Route 960J to prolong the life of the bridges.  Town Owego, Tioga County.   (BINS 1054740, 1061190, and 1061200)",Under Construction,Spring 2017,04/25/2019,,,,Yes,Yes,No,This project involves replacing bridge decks.,"This project will provide bridge deck replacements and minor rehabilitation to 3 Structures on Route 960J to prolong the life of the bridges. Town of Owego, Tioga County.",06/28/2019,11575575,61032,11636607,11/18/2020,GREEN,GREEN
906774,D263854,09 SOUTHERN TIER,RTE 7 OVER BELDEN BROOK & RTE 17 OVER DRY BROOK CREEK,"This project will provide minor bridge rehabilitation and stream improvements to the structures that carry Rte. 7 over Belden Brook (Town of Colesville, Broome Co) and Rte. 17 over Dry Brook Creek (Village of Waverly, Tioga Co).  BINs 1095060 & 1090800.",Completed Project,Summer 2017,12/13/2018,,,,Yes,Yes,No,This project involves general bridge rehabilitation work.,"This project will provide minor bridge rehabilitation and stream improvements to the structures that carry Route 7 over Belden Brook (Town of Colesville, Broome County) and Route 17 over Dry Brook Creek (Village of Waverly, Tioga County).",01/09/2019,590000,-49943,540057,07/31/2019,GREEN,GREEN
906777,D264091,09 SOUTHERN TIER,"OFF SYSTEM BRIDGE REHABS (8), BROOME, DELAWARE & SULLIVAN","This bridge rehabilitation project will perform work on 8 bridges. Project will rehabilitate & paint 6 bridges (BINs 1013380, 1013660, 1013670, 1013710, 1013760, 1013820) and rehabilitate the other 2 (1013250, 1026880) Broome, Delaware, and Sullivan Co.",Under Construction,Fall 2018,11/07/2019,,,,Yes,Yes,No,This project involves general bridge rehabilitation work.,"This bridge rehabilitation project will perform work to rehabiliate 8 bridges (and paint six of those bridges) in the Towns of Sanford, Hancock, Liberty, Thompson, Mamakating, and Delaware and Village of Monticello; in Broome, Delaware, and Sullivan Coun",12/24/2019,12650000,0,12650000,10/01/2022,GREEN,GREEN
909583,,09 SOUTHERN TIER,RT 10 OVER PINES BROOK,"This reconstruction project will replace the deficient structure carrying Rt 10 over Pines Brook.  Tn of Walton, Delaware Co  (BIN 1007710).",In Development,Fall 2002,Fall 2020,Winter 2020/2021,Fall 2022,1300000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the structure carrying Route 10 over Pines Brook. Town of Walton, Delaware County.",,,,,,,
909589,D263622,09 SOUTHERN TIER,"ROUTE 10 SLOPE REMEDIATION, RICHMONDVILLE","This safety project will stabilize the existing slope along Route 10, from mile point 18.81 north to 19.01, in the Town and Village of Richmondville, Schoharie County.",Under Construction,Winter 2013/2014,01/25/2018,,,,Yes,Yes,No,This project involves protecting travelers from possible falling rocks or slides by stabilizing rock slopes.,"This safety project will stabilize the existing slope along Route 10, Stamford - Summit Part 2 & 3A, in the Town and Village of Richmondville, Schoharie County.",02/16/2018,3183787,269610,3453396,06/03/2020,RED,YELLOW
909596,,09 SOUTHERN TIER,RT 10 OVER ELK CREEK,"This reconstruction project will replace the deficient structure that carries Rt 10 over Elk Creek in the Town of Delhi, Delaware Co  (BIN 1007770)",In Development,Fall 2013,Fall 2022,Winter 2022/2023,Spring 2023,1500000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the structure that carries Route 10 over Elk Creek in the Town of Delhi, Delaware County. BIN 1007770",,,,,,,
90PS01,D263502,09 SOUTHERN TIER,PEDESTRIAN SAFETY ACTION PLAN (PSAP),"This safety project will implement engineering counter measures that will improve pedestrian safety in urban areas as described in the 6/20/2016 Pedestrian Safety Action Plan.  All Counties, Region 9.",Completed Project,Winter 2016/2017,07/13/2017,,,,Yes,No,No,"This project involves rehabilitating pedestrian facilities (paths, sidewalks, crosswalks, etc.).","This safety project will implement engineering counter measures that will improve pedestrian safety in urban areas as described in the 6/20/2016 Pedestrian Safety Action Plan. All Counties, Region 9.",08/09/2017,3599377,759459,4358836,03/15/2020,RED,RED
910224,D264073,09 SOUTHERN TIER,RT 41 OVER LONG POND BROOK,"This project will replace the deficient structure  that carries Rt 41 over Long Pond Brook.  Tn of Smithville, Chenango Co  (BIN 1024840)",Under Construction,Winter 2009/2010,11/07/2019,,,,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,This project will replace the structure that carries Route 41 over Long Pond Brook in the Town of Smithville in Chenango County.,11/29/2019,1636842,2985,1639827,05/31/2021,GREEN,GREEN
910227,D264090,09 SOUTHERN TIER,RT 41 OVER CORNELL CREEK AND WILKINS BROOK,"This reconstruction project will replace the deficient structures carrying Rt 41 over Cornell Creek and Wilkins Brook.  Tn of Afton and Coventry, Chenango Co  (BIN's 1024750,1024790).",Under Construction,Spring 2018,11/07/2019,,,,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the structures carrying NYS Route 41 over Cornell Creek and Wilkins Brook, in the Towns of Afton and Coventry, Chenango County.",11/27/2019,1871077,0,1871077,11/20/2021,GREEN,GREEN
912063,,09 SOUTHERN TIER,RT 23 OVER MIDDLE BROOK,"This reconstruction project will replace the deficient structure carrying Rte 23 over Middle Brook.  Tn of Davenport, Delaware Co  (BIN 1017610)",In Development,Spring 2018,Fall 2022,Winter 2022/2023,Fall 2023,3400000.00,Yes,Yes,No,This project involves general bridge rehabilitation work.,"This project will replace the structure carrying Route 23 over Middle Brook, in the Town of Davenport in Delaware County.",,,,,,,
916643,,09 SOUTHERN TIER,"RT 80 OVER HAYDEN CREEK, CULVERT REHABILITATION, OTSEGO CO","This project will rehabilitate the deficient culvert on Rt 80 over Hayden Creek in order to extend the service life.  Tn of Springfield, Otsego Co (C950108)",In Development,Fall 2016,Summer 2023,Fall 2023,Winter 2023/2024,1000000.00,Yes,Yes,No,This project involves the repair and replacement of culverts.,"This project will rehabilitate the culvert on Route 80 over Hayden Creek in the Town of Springfield, Otsego County to extend the service life.",,,,,,,
921330,,09 SOUTHERN TIER,RT 79 OVER CHENANGO RIVER,"This reconstruction project will replace the deficient structure carrying Rt. 79 over the Chenango River on a new alignment.  Tn of Barker and Fenton, Broome Co  ( BIN#1030480)",In Development,Spring 2005,Fall 2021,Fall 2021,Fall 2023,11500000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will replace the structure carrying Route 79 over the Chenango River on a new alignment. Towns of Barker and Fenton, Broome County.",,,,,,,
930673,D264205,09 SOUTHERN TIER,"RT 206 PAVEMENT REHABILITATION & SLOPE REPAIR, BAINBRIDGE","This project  will address 2 slope failures on Rt 206; rehabilitate portions of Rt 206 from mp 19.20 to 21.10; improve closed drainage system and curbs from Case Rd to the Susquehanna River.  Tn & Vil of Bainbridge, Chenango Co",Under Construction,Summer 1997,03/19/2020,,,,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will address 2 slope failures on Route 206, rehabilitate portions of Route 206, and improve closed drainage system and curbs from Case Road to the Susquehanna River in the Town & Village of Bainbridge, Chenango County.",04/13/2020,5186048,0,5186048,10/31/2021,GREEN,GREEN
930710,,09 SOUTHERN TIER,"RT 7 MAIN ST, VILLAGE OF OTEGO","This preventive maintenance project will resurface 1.5 miles of pavement (multi course overlay) on Rt 7, Main St from Wayman Dr to Otsdawa Dr to bring the pavement to a state of good repair.  Tn and Vil of Otego, Otsego Co",In Development,Summer 2009,Spring 2021,Summer 2021,Fall 2021,5000000.00,Yes,Yes,No,This project involves repaving roads using multiple overlays of pavement.,"This preventive maintenance project will resurface 1.5 miles of pavement on Route 7, Main Street from Wayman Drive to Otsdawa Drive to bring the pavement to a state of good repair. Town and Village of Otego, Otsego County.",,,,,,,
930716,D263582,09 SOUTHERN TIER,RTE 7 OVER KELSEY BROOK,"This reconstruction project will replace the deficient structure (BIN 1003810) that carries Route 7 over Kelsey Brook.  Town and Village of Afton, Chenango County.",Completed Project,Summer 2013,01/04/2018,,,,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the deficient structure that carries Route 7 over Kelsey Brook. Town and Village of Afton, Chenango County.",02/01/2018,1907582,80604,1988186,08/28/2019,GREEN,GREEN
930721,D263836,09 SOUTHERN TIER,"RTE 7, 990D, AND 990E - MILLING & RESURFACING","This preventive maintenance project will mill & resurface a total of 11.59 lane miles in the Villages of Johnson City & Port Dickinson, the Towns of Dickinson & Union, and the City of Binghamton in Broome County.",Completed Project,Spring 2017,03/28/2019,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This preventive maintenance project will mill & resurface a total of 11.59 lane miles in the Villages of Johnson City & Port Dickinson, the Towns of Dickinson & Union, and the City of Binghamton in Broome County.",06/07/2019,2999778,-72888,2926889,10/04/2019,GREEN,GREEN
930723,,09 SOUTHERN TIER,RT 7 OVER LITTLE SNAKE & BELDEN BRK & RTE 7A OVER SNAKE CRK,"This project will perform scour repairs to 3 structures: Rt 7 over Little Snake Creek (BIN 1054390); Rt 7 over Belden Brook (BIN 1003760); and Rt 7A over Snake Crk (BIN1004350).  Tn of Colesville and Conklin, Broome Co",In Development,Fall 2018,Winter 2020/2021,Spring 2021,Fall 2021,1200000.00,Yes,Yes,No,This project involves minor bridge repairs.,"This project will perform scour repairs to 3 structures: Route 7 over Little Snake Creek; Route 7 over Belden Brook, and Route 7A over Snake Creek in the Towns of Colesville and Conklin in Broome County.",,,,,,,
931400,D263302,09 SOUTHERN TIER,RTE 34 OVER NORFOLK SOUTHERN RR & CAYUTA CREEK,"This reconstruction project will replace the 2 deteriorated structures carrying Rte 34 over Cayuta Creek and Rte. 34 over the Norfolk Railroad, in the Town of Barton, Tioga Co.  (BIN's 1023170 & 1023180)",Completed Project,Summer 2008,12/15/2016,,,,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the two deteriorated structures carrying Route 34 over Cayuta Creek and Route 34 over the Norfolk Railroad, in the Town of Barton, Tioga County.",03/27/2017,10460460,-213446,10247014,08/02/2019,RED,GREEN
931406,,09 SOUTHERN TIER,RT 34 OVER KING HOLLOW CREEK,"This project will either rehabilitate or replace the deteriorated structure carrying Rt 34 over King Hollow Creek.  Tn of Barton, Tioga Co  (BIN # 1090940)",In Development,Spring 2015,Fall 2027,Winter 2027/2028,Spring 2028,900000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will either rehabilitate or replace the structure carrying Route 34 over King Hollow Creek. Town of Barton, Tioga County. (BIN # 1090940)",,,,,,,
931408,,09 SOUTHERN TIER,RT 34 OVER DRY RUN CREEK,"This reconstruction project will replace the deficient structure that carries Rt 34 over Dry Run Creek (BIN 1090200).  Tn of Spencer, Tioga Co",In Development,Winter 2018/2019,Winter 2021/2022,Spring 2022,Winter 2022/2023,1300000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the structure that carries Route 34 over Dry Run Creek in the Town of Spencer, Tioga County.",,,,,,,
935822,,09 SOUTHERN TIER,"I88 BRIDGE & PAVEMENT PROJECT, OTSEGO & SCHOHARIE CO","This project will replace 1 structure (BIN 1070180) & rehab 4 structures (BINs 1069890, 1069981,1069982, 1070020) & will pave 31.36 lane miles on I88 (mp 28.94 to 36.78).  Village & Town of Richmondville & Town of Worcester, Schoharie & Otsego Co.   ",In Development,Spring 2014,Fall 2019,Winter 2019/2020,Spring 2022,11600000.00,Yes,Yes,No,This project involves general bridge rehabilitation work.,"This project will replace 1 structure and rehabilitate 4 structures on I88 in the Village and Town of Richmondville and Town of Worcester, Schoharie and Otsego Counties.  In addition, this project will resurface 31.36 lane miles of pavement on I88 in the ",,,,,,,
935827,,09 SOUTHERN TIER,"I-88, WORCESTER TO SCHOHARIE CO, RESURFACING & BRIDGE REHAB","This project will resurface 31.36 lane miles of pavement on I-88 (milepoints. 28.94 to 36.78 in Otsego County). Also rehabilitate 10 bridges in the Town of Worcester, Otsego County, and 2 bridges in the Town of Richmondville, Schoharie County.",In Development,Winter 2017/2018,Fall 2019,Winter 2019/2020,Spring 2020,30700000.00,Yes,Yes,No,This project involves repairing concrete pavement.,"This project will resurface 31.36 lane miles of pavement on I-88 Also rehabilitate 10 bridges in the Town of Worcester, Otsego County, and 2 bridges in the Town of Richmondville, Schoharie County.",,,,,,,
935838,D263988,09 SOUTHERN TIER,I-88 PIER PILE PLACEMENTS OVER SCHOHARIE CREEK & SMITH RD,"This project will repair and restore erosion/scour element deficiencies at each pier of two bridges on I-88 over Schoharie Creek and Smith Road (BINs 1070621, 1070622) in the Town of Schoharie, Schoharie County.",Under Construction,Summer 2017,05/23/2019,,,,Yes,Yes,No,This project involves minor bridge repairs.,"This project will repair and restore erosion/scour element deficiencies at each pier of two bridges on I-88 over Schoharie Creek and Smith Road. Town of Schoharie, Schoharie County.",07/02/2019,5125088,11231,5136318,11/18/2020,GREEN,GREEN
935839,D264122,09 SOUTHERN TIER,I-88 CONNECTOR AND RTE 990G RESURFACING,"Project will resurface 16.32 lane miles on I-88 (mp 0.67 - 2.89, .99 - 3.22, 0 - .05, .14 - .35, 0 - .06, .08-.24), Rte 990G (mp 0 - 1.16), & Rte 7 (mp 13.60 - 14.10) in the Towns of Dickinson, Fenton, Kirkwood & Village of Port Dickinson, Broome County.",Under Construction,Fall 2018,01/30/2020,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"Project will resurface 16.32 lane miles on I-88, Rte 990G, & Rte 7 in the Towns of Dickinson, Fenton, Kirkwood & Village of Port Dickinson, in Broome County.",03/27/2020,3697404,0,3697404,12/01/2020,GREEN,GREEN
